Company,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,PE Ratio,Beta,EPS,Forward PE,Revenue,Gross Profit,Operating Income,Net Income,Debt to Equity,Return on Equity (ROE),Current Ratio,Dividends Paid,Dividend Yield,Quarterly Revenue Growth,Analyst Recommendation,Target Price,Free Cash Flow,Operating Margin,Profit Margin,Cash Ratio,Quick Ratio,Price to Book Ratio,Enterprise Value,Total Debt,Total Assets,Total Equity,Beta (5Y),Annual Dividend Rate,Trailing Twelve Months (TTM) Revenue,Trailing Twelve Months (TTM) EBITDA,Trailing Twelve Months (TTM) Earnings
Google,GOOGL,2005-01-03,4.939939976,5.096096039,4.8913908,5.072823048,5.060292721,633134232,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-04,5.040040016,5.078328133,4.841842175,4.867366791,4.855343819,549685764,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-05,4.841091156,4.927426815,4.81056118,4.842593193,4.830631733,329134536,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-06,4.881882191,4.902401924,4.697698116,4.718468189,4.706813335,415068516,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-07,4.770771027,4.861111164,4.724224091,4.851100922,4.839118481,386129484,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-10,4.867366791,4.957457066,4.800550938,4.881381035,4.869324207,301282416,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-11,4.895394802,4.947698116,4.834333897,4.843342781,4.831379414,278069652,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-12,4.863112926,4.903152943,4.767267227,4.889389038,4.877311707,326784888,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-13,4.889389038,4.939690113,4.856105804,4.888137817,4.876063824,273702024,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-14,4.904904842,5.005255222,4.858108044,5.004253864,4.991892815,385226388,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-18,5.029279232,5.13063097,4.971470833,5.102602959,5.089999199,526377096,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-19,5.121370792,5.137638092,4.922673225,4.937437057,4.92524147,449857692,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
Google,GOOGL,2005-01-20,4.817317009,4.911160946,4.804804802,4.852852821,4.840866089,359703936,2024580000000,23.492826,1.038,6.97,18.842924,,,,87656996864,9.549,0.30871,2.079,0.2,0.0049,0.136,buy,200.2,43988500480,0.32362998,0.26702,,1.897,6.7086606,1933660000000,28718999552,,,1.038,0.8,,,
